DrugGEN_MOL_ID,DOCKING_SCORE
MOL_02_009006,-8.157
MOL_02_025161,-8.157
MOL_01_030373,-8.157
MOL_01_031183,-8.156
MOL_02_003852,-8.155
MOL_01_027066,-8.154
MOL_01_029517,-8.151
MOL_02_018011,-8.151
MOL_02_014158,-8.15
MOL_02_012237,-8.15
MOL_01_024871,-8.149
MOL_01_028873,-8.149
MOL_01_026885,-8.149
MOL_02_011477,-8.149
MOL_02_029767,-8.149
MOL_02_030302,-8.148
MOL_01_030829,-8.148
MOL_01_029681,-8.148
MOL_02_002968,-8.146
MOL_01_028913,-8.145
MOL_02_009692,-8.145
MOL_01_030513,-8.144
MOL_02_015152,-8.144
MOL_02_033703,-8.143
MOL_02_031029,-8.141
MOL_02_009694,-8.141
MOL_01_032075,-8.14
MOL_02_012820,-8.14
MOL_02_013108,-8.14
MOL_02_019086,-8.138
MOL_02_006584,-8.138
MOL_02_014159,-8.137
MOL_02_024427,-8.137
MOL_01_027797,-8.137
MOL_02_022137,-8.136
MOL_01_029544,-8.136
MOL_01_029052,-8.135
MOL_01_031198,-8.134
MOL_01_027099,-8.134
MOL_01_026037,-8.133
MOL_02_009663,-8.133
MOL_02_016155,-8.131
MOL_02_012367,-8.129
MOL_02_000395,-8.128
MOL_01_030008,-8.127
MOL_02_024200,-8.126
MOL_02_037086,-8.126
MOL_02_018953,-8.126
MOL_02_008958,-8.125
MOL_02_033621,-8.124
MOL_02_036055,-8.124
MOL_02_009227,-8.124
MOL_02_020595,-8.124
MOL_02_008525,-8.123
MOL_02_020237,-8.123
MOL_02_024263,-8.123
MOL_02_009798,-8.123
MOL_02_014978,-8.121
MOL_02_009112,-8.12
MOL_02_019302,-8.12
MOL_02_006635,-8.119
MOL_02_038238,-8.119
MOL_01_028141,-8.118
MOL_01_031552,-8.118
MOL_02_009700,-8.117
MOL_02_032284,-8.116
MOL_02_009499,-8.116
MOL_01_029665,-8.115
MOL_01_030427,-8.114
MOL_02_024580,-8.114
MOL_01_032570,-8.113
MOL_02_035818,-8.113
MOL_02_009919,-8.113
MOL_02_026737,-8.112
MOL_02_030708,-8.111
MOL_02_036173,-8.111
MOL_02_001359,-8.109
MOL_02_009784,-8.109
MOL_02_005293,-8.108
MOL_01_027950,-8.108
MOL_02_030100,-8.107
MOL_02_004070,-8.107
MOL_02_034200,-8.106
MOL_02_020528,-8.104
MOL_02_026949,-8.103
MOL_02_036203,-8.102
MOL_02_028574,-8.102
MOL_01_032329,-8.102
MOL_02_034052,-8.102
MOL_01_028169,-8.101
MOL_01_029808,-8.101
MOL_01_032251,-8.101
MOL_01_031356,-8.099
MOL_02_017125,-8.098
MOL_02_030815,-8.097
MOL_01_028242,-8.096
MOL_01_027345,-8.096
MOL_02_027477,-8.096
MOL_02_018028,-8.095
MOL_01_019876,-8.094
MOL_02_009809,-8.093
MOL_02_006949,-8.093
MOL_02_032473,-8.093
MOL_02_033030,-8.09
MOL_02_015385,-8.09
MOL_02_023471,-8.09
MOL_02_037572,-8.089
MOL_02_003963,-8.089
MOL_02_035001,-8.086
MOL_02_034864,-8.085
MOL_02_003402,-8.085
MOL_01_032569,-8.084
MOL_02_019125,-8.084
MOL_01_031506,-8.084
MOL_01_030558,-8.083
MOL_02_006349,-8.083
MOL_01_025936,-8.081
MOL_02_010059,-8.08
MOL_02_011312,-8.08
MOL_02_025365,-8.079
MOL_01_026732,-8.079
MOL_02_002386,-8.079
MOL_02_035422,-8.078
MOL_02_019317,-8.078
MOL_02_009952,-8.078
MOL_01_030127,-8.077
MOL_02_015444,-8.076
MOL_02_009937,-8.075
MOL_02_004549,-8.075
MOL_02_024423,-8.074
MOL_02_009748,-8.073
MOL_02_027581,-8.073
MOL_01_031044,-8.072
MOL_02_032775,-8.071
MOL_02_000508,-8.071
MOL_01_033001,-8.071
MOL_02_026558,-8.067
MOL_02_009304,-8.067
MOL_01_027062,-8.067
MOL_02_006578,-8.067
MOL_02_024612,-8.067
MOL_01_028750,-8.066
MOL_02_037558,-8.064
MOL_02_014886,-8.064
MOL_01_029781,-8.063
MOL_01_027523,-8.063
MOL_02_031283,-8.061
MOL_01_026693,-8.061
MOL_02_032075,-8.06
MOL_01_032968,-8.059
MOL_01_029205,-8.059
MOL_01_028294,-8.056
MOL_02_004145,-8.056
MOL_02_002519,-8.055
MOL_02_019446,-8.054
MOL_01_032668,-8.053
MOL_02_012409,-8.052
MOL_01_024970,-8.052
MOL_02_017108,-8.052
MOL_01_032027,-8.051
MOL_02_017126,-8.049
MOL_02_036467,-8.047
MOL_02_027443,-8.047
MOL_02_009803,-8.047
MOL_02_009427,-8.047
MOL_02_000980,-8.047
MOL_02_030290,-8.047
MOL_02_027151,-8.047
MOL_02_031590,-8.046
MOL_02_001925,-8.046
MOL_02_009086,-8.046
MOL_02_009738,-8.045
MOL_02_017407,-8.044
MOL_01_029245,-8.044
MOL_02_008288,-8.044
MOL_02_033266,-8.043
MOL_02_004547,-8.042
MOL_01_030005,-8.042
MOL_02_009312,-8.04
MOL_02_019697,-8.039
MOL_02_001795,-8.039
MOL_01_022006,-8.039
MOL_01_027394,-8.038
MOL_01_026558,-8.038
MOL_02_020036,-8.037
MOL_02_015195,-8.037
MOL_02_029643,-8.037
MOL_01_028324,-8.035
MOL_01_026274,-8.034
MOL_02_000588,-8.033
MOL_01_029990,-8.032
MOL_02_033546,-8.032
MOL_02_017689,-8.031
MOL_02_001780,-8.031
MOL_02_032404,-8.031
MOL_02_009690,-8.031
MOL_01_031060,-8.03
MOL_02_001294,-8.03
MOL_02_023323,-8.029
MOL_02_019766,-8.028
MOL_02_001035,-8.028
MOL_02_011484,-8.028
MOL_01_032810,-8.027
MOL_02_033794,-8.026
MOL_02_023789,-8.026
MOL_02_020713,-8.026
MOL_01_032323,-8.025
MOL_02_030295,-8.025
MOL_01_027124,-8.025
MOL_02_030782,-8.024
MOL_02_033681,-8.023
MOL_02_034771,-8.023
MOL_01_029284,-8.023
MOL_02_009607,-8.023
MOL_02_012240,-8.023
MOL_02_010043,-8.023
MOL_01_024923,-8.022
MOL_02_004065,-8.022
MOL_01_027667,-8.02
MOL_01_027971,-8.02
MOL_01_031114,-8.02
MOL_02_029573,-8.019
MOL_02_007560,-8.019
MOL_02_002319,-8.018
MOL_02_012665,-8.018
MOL_02_015366,-8.017
MOL_02_005263,-8.017
MOL_02_009746,-8.015
