CHEMBL_ID,SMILES,DOCKING_SCORE
CHEMBL3471872,Cc1noc(C)c1C[N@@H+]1CC[C@H]2C[C@@H](c3ccncn3)O[C@@H]2C1,-7.468
CHEMBL3669929,O=C(Cc1coc2ccccc12)Nc1nnc(CCCCc2nnc(NC(=O)Cc3coc4ccccc34)s2)s1,-7.462
CHEMBL3651942,C[C@@H]1C[C@H]([NH3+])C[C@H](c2ccncc2NC(=O)c2ccc(F)c(-c3cc(O)ccc3F)n2)C1,-7.461
CHEMBL3443455,NC(=O)C1CCN(c2nc3nccc(-c4cccnc4)c3c(=O)[nH]2)CC1,-7.457
CHEMBL410746,CNC(=O)[C@@]12CO[C@@H]([C@H](n3cnc4c(N)ncnc43)O1)[C@@H]2O,-7.456
CHEMBL4086220,CCS(=O)(=O)Nc1ccc2c(ccc(=O)n2C)c1,-7.455
CHEMBL3894129,CNC(=O)c1ccccc1Nc1nc(Nc2cccc3c2OCCO3)[nH+]c2c1CCN2,-7.455
CHEMBL2094854,O=C1c2ccc(Cl)c3c(Cl)ccc(c23)C(=O)N1Nc1ccccc1,-7.45
CHEMBL301987,NC(=[NH2+])N[N-]S(=O)(=O)c1ccc2ccccc2c1,-7.442
CHEMBL371246,CSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@@H](F)[C@@H]1O,-7.441
CHEMBL352484,O=C(CC[N@H+]1CCCC[C@H]1CCO)Nc1ccc(NC(=O)CC[N@@H+]2CCCC[C@H]2CCO)c2c1C(=O)c1ccccc1C2=O,-7.44
CHEMBL1277903,COc1ccccc1NC1=CC(=O)c2c(c(C)nc3c2c(=O)n(C)c(=O)n3C)C1=O,-7.44
